X,CH1,CH2,Start,Increment
Sequence,Volt,Volt,-3.00E+08,5.00E+05
280,6.24E+00,1.17E+01,,
281,6.16E+00,1.18E+01,,
282,6.16E+00,1.17E+01,,
283,6.24E+00,1.18E+01,,
284,6.24E+00,1.17E+01,,
285,6.16E+00,1.18E+01,,
286,6.24E+00,1.18E+01,,
287,6.16E+00,1.17E+01,,
288,6.16E+00,1.17E+01,,
289,6.24E+00,1.18E+01,,
290,6.16E+00,1.18E+01,,
291,6.24E+00,1.17E+01,,
292,6.16E+00,1.18E+01,,
293,6.24E+00,1.17E+01,,
294,6.24E+00,1.17E+01,,
295,6.16E+00,1.18E+01,,
296,6.20E+00,1.18E+01,,
297,6.28E+00,1.17E+01,,
298,6.28E+00,1.18E+01,,
299,6.20E+00,1.17E+01,,
300,6.28E+00,1.18E+01,,
301,6.20E+00,1.17E+01,,
302,6.28E+00,1.18E+01,,
303,6.24E+00,1.17E+01,,
304,6.28E+00,1.17E+01,,
305,6.20E+00,1.18E+01,,
306,6.28E+00,1.17E+01,,
307,6.20E+00,1.18E+01,,
308,6.28E+00,1.18E+01,,
309,6.20E+00,1.17E+01,,
310,6.20E+00,1.18E+01,,
311,6.28E+00,1.17E+01,,
312,6.20E+00,1.17E+01,,
313,6.28E+00,1.18E+01,,
314,6.28E+00,1.18E+01,,
315,6.20E+00,1.17E+01,,
316,6.20E+00,1.18E+01,,
317,6.28E+00,1.17E+01,,
318,6.20E+00,1.17E+01,,
319,6.28E+00,1.18E+01,,
320,6.28E+00,1.17E+01,,
321,6.20E+00,1.18E+01,,
322,6.24E+00,1.18E+01,,
323,6.32E+00,1.17E+01,,
324,6.32E+00,1.17E+01,,
325,6.24E+00,1.18E+01,,
326,6.32E+00,1.18E+01,,
327,6.28E+00,1.17E+01,,
328,6.32E+00,1.17E+01,,
329,6.24E+00,1.18E+01,,
330,6.32E+00,1.18E+01,,
331,6.24E+00,1.17E+01,,
332,6.32E+00,1.18E+01,,
333,6.24E+00,1.17E+01,,
334,6.24E+00,1.17E+01,,
335,6.32E+00,1.18E+01,,
336,6.24E+00,1.18E+01,,
337,6.32E+00,1.17E+01,,
338,6.24E+00,1.18E+01,,
339,6.32E+00,1.17E+01,,
340,6.24E+00,1.18E+01,,
341,6.32E+00,1.17E+01,,
342,6.24E+00,1.18E+01,,
343,6.28E+00,1.17E+01,,
344,6.24E+00,1.17E+01,,
345,6.32E+00,1.18E+01,,
346,6.24E+00,1.17E+01,,
347,6.32E+00,1.18E+01,,
348,6.24E+00,1.18E+01,,
349,6.36E+00,1.17E+01,,
350,6.24E+00,1.18E+01,,
351,6.36E+00,1.17E+01,,
352,6.28E+00,1.18E+01,,
353,6.36E+00,1.17E+01,,
354,6.36E+00,1.17E+01,,
355,6.28E+00,1.18E+01,,
356,6.36E+00,1.18E+01,,
357,6.28E+00,1.17E+01,,
358,6.24E+00,1.17E+01,,
359,6.36E+00,1.18E+01,,
360,6.28E+00,1.17E+01,,
361,6.36E+00,1.18E+01,,
362,6.28E+00,1.17E+01,,
363,6.36E+00,1.18E+01,,
364,6.36E+00,1.18E+01,,
365,6.28E+00,1.17E+01,,
366,6.36E+00,1.18E+01,,
367,6.28E+00,1.17E+01,,
368,6.36E+00,1.18E+01,,
369,6.32E+00,1.17E+01,,
370,6.36E+00,1.18E+01,,
371,6.28E+00,1.17E+01,,
372,6.36E+00,1.18E+01,,
373,6.28E+00,1.17E+01,,
374,6.36E+00,1.17E+01,,
375,6.28E+00,1.18E+01,,
376,6.36E+00,1.17E+01,,
377,6.28E+00,1.18E+01,,
378,6.28E+00,1.17E+01,,
379,6.36E+00,1.18E+01,,
380,6.36E+00,1.17E+01,,
381,6.28E+00,1.18E+01,,
382,6.36E+00,1.17E+01,,
383,6.28E+00,1.18E+01,,
384,6.28E+00,1.18E+01,,
385,6.36E+00,1.17E+01,,
386,6.28E+00,1.18E+01,,
387,6.36E+00,1.17E+01,,
388,6.28E+00,1.17E+01,,
389,6.36E+00,1.18E+01,,
390,6.28E+00,1.17E+01,,
391,6.36E+00,1.18E+01,,
392,6.28E+00,1.18E+01,,
393,6.40E+00,1.17E+01,,
394,6.36E+00,1.17E+01,,
395,6.28E+00,1.18E+01,,
396,6.36E+00,1.18E+01,,
397,6.28E+00,1.17E+01,,
398,6.32E+00,1.17E+01,,
399,6.40E+00,1.18E+01,,
400,6.32E+00,1.18E+01,,
401,6.40E+00,1.17E+01,,
402,6.40E+00,1.17E+01,,
403,6.32E+00,1.18E+01,,
404,6.40E+00,1.17E+01,,
405,6.32E+00,1.18E+01,,
406,6.40E+00,1.17E+01,,
407,6.32E+00,1.18E+01,,
408,6.40E+00,1.17E+01,,
409,6.32E+00,1.18E+01,,
410,6.40E+00,1.17E+01,,
411,6.32E+00,1.18E+01,,
412,6.40E+00,1.18E+01,,
413,6.32E+00,1.17E+01,,
414,6.40E+00,1.18E+01,,
415,6.32E+00,1.17E+01,,
416,6.40E+00,1.17E+01,,
417,6.32E+00,1.18E+01,,
418,6.40E+00,1.17E+01,,
419,6.32E+00,1.18E+01,,
420,6.40E+00,1.18E+01,,
421,6.32E+00,1.17E+01,,
422,6.40E+00,1.18E+01,,
423,6.32E+00,1.17E+01,,
424,6.32E+00,1.17E+01,,
425,6.40E+00,1.18E+01,,
426,6.32E+00,1.17E+01,,
427,6.40E+00,1.18E+01,,
428,6.44E+00,1.18E+01,,
429,6.32E+00,1.17E+01,,
430,6.32E+00,1.18E+01,,
431,6.44E+00,1.17E+01,,
432,6.36E+00,1.18E+01,,
433,6.44E+00,1.17E+01,,
434,6.44E+00,1.18E+01,,
435,6.36E+00,1.17E+01,,
436,6.44E+00,1.18E+01,,
437,6.36E+00,1.17E+01,,
438,6.44E+00,1.17E+01,,
439,6.36E+00,1.18E+01,,
440,6.44E+00,1.18E+01,,
441,6.36E+00,1.17E+01,,
442,6.44E+00,1.17E+01,,
443,6.36E+00,1.18E+01,,
